Equipment Description,Model,Problem,Initial Diagnosis,Work Done
General Adult/Pediatric,AVEA,Issue,Unable to Calibrate leakage test and other test,"Ventilator was inspected and found that the filter was loose, so the filter position was realigned in correct position. And preop test was performed. Ventilator was calibrated successfully."
,Cios Select,Issue,Unable to load the software every single time. &nbsp;Error message:XCS communication Error. Radiation is not possible due to system problems.,Clean the workstation pc and it's ram and performed its test multiple times and software runs perfectly for few times. But failes to load the system after few exposure and automatically shuts down showing Error message.&nbsp;
General Adult/Pediatric,VG70,Issue,AC signal failed,Ventilator was assessed and the issue with AC signal failed was resolved after display board was reconnected. O2 senor voltage was low. Calibration failed.
General Adult/Pediatric,N/A,issue,O2 sensor failed.,Upon inspection found that Ventilator leak test successfully but O2 sensor failed.
General Adult/Pediatric,VG70,Issue,No AC signal was detected by ventilator (2081-02-16),"Machine was inspected,the display board connection was reset. Leak test was performed,Battery was tested but O2 senor calibration failed."
General,GN300,Issue,Electro Surgical Unit was unresponsive to cut foot switch.,Machine was assessed and checked the relay triggering the cut mode and found to be in good &nbsp;condition.The Foot switch were also checked and found to be good showing contunity. The machine other parts were also crossed checked. All the system were reset and conncetion were reset. And made the machine functional.
,775,Issue,&nbsp;Machine was encountering frequent error FC:001:002 and showing alarm of High temperature.,"Machine was inspected and analized the error code was due to the faulty temperature senor. The senor to the patient side hose was cleaned. Similarly the connection of temperature sensor to the main board was reset. The issue with error &nbsp;was resolved. &nbsp;Further Machines functionality was tested in all temperature mode (32,38,43) degree."
Cabinet Heating,FWC390,Issue,Reported Machine malfunction.,While assessing the Machine the Equilibrium Fan motor capacitor was blown out due to faulty motor.Further the faulty motor was detached from the position and rewired the connection of coiling. Damaged Capacitor (3 micro farad) was replaced and lubricated the motor. After readjustment of Motor Fluid Warmer is now fully functional.
General,R8C PLUS,issue,Reported the centrifuge machine couldn't power on.,"Firstly, the switch were checked, all the board connections were reset, the display was flickering continuously, the issue identified and resolved.Further the &nbsp;machine exhibit imbalance error. So the error was removed after motor and Limit switch was repositioned and &nbsp;centrifuge was checked in all RPM. Machine is now fully functional."
General,,Issue,Reported ESU was unresponsive to power button.,The connection to the ESU was secured and powered on. Operational issue.Different modes of ESU was tested and concluded Machine to be functional.
General,GN300,Issue,ESU wasn't functional due to damaged Patient Plate.&nbsp;,The damaged patient plate wire reconfigure and rejoined. ESU is now fully functional.
Neuro,HS HI-R,Issue,Unable to power On,"While assessing the Microscope the issue was identified due to faulty 3 pin. The faulty 3 pin was repaired, rewired and power on the machine."
General with integrated DR,PRORAD 3NC,Issue,The issue was reported that while positioning collimator light the window hinder the positioning.,Upon inspection found that the collimator window had loose nut. So the loose nut was fastened perfectly and issue was resolved. Now collimator window are functioning properly.
Pre-vacuum,20HA/E,Continuous Motor operation and no filling of water.,Continuous Motor operation &nbsp;and no filling of water.,"The issue &nbsp;with Continuous operation of Motor was initially diagnosed faulty water level sensor.Upon checking the sensor it was found the sensor wire had some &nbsp;physical damage. Senor wire was rewired. Further, Motor was operated yet it failed to fill up the tank. So the valve to the end of Motor was checked and removed the trapped air. Afterwards, Water was filled up to the tank. Machine is now operating fully."
Pre-vacuum,20HB/E,Issue,Reported that there was leakage from the Autoclave.&nbsp;,Upon assessing the ventilator found that the lekage was due to damaged central heater rod. Further assessing the Autoclave found that other 2 rod were also damaged due to water leakage.Damaged heater rod was changed and ensure that no leakage (silicone rubber was used)Autoclave was made functional and is ready for use.
,M7,Issue,Display was not responding properly.,Display was readjusted and made the pump work properly.
,M7,Issue,Battery Error,Battery was replaced. syringe pump was made fully functional.
,M7,Issue,User guidance was required for the operation.,User guidance was provided to the nurse and operated the infusion pump.
General Adult/Pediatric,VG70,Issue,Pre Operational Test was required.,Assessment of the ventilator was performed and found that the inspiratory hose was missing.
General Adult/Pediatric,AVEA,Issue,Pre Operational Test was required,Required general maintenance was done and preoperational test was performed.
General with Neonatal,AVEA,Issue,Pre Operational Test was required,Required general maintanence was done and preoperational test was performed.
General with Neonatal,AVEA,Issue,Pre Operational Test was required,Required general maintanence was done and pre operational test was performed.
General Adult/Pediatric,AVEA,Issue,Pre Operational Test was required,Required general maintenance was done and preoperational test was performed.
